Date,AAPL,MSFT,AMZN,GOOGL
16/04/2012,17.76368332,25.36833382,185.5,303.3383484
17/04/2012,18.6691227,25.66217995,188.3899994,305.0900879
18/04/2012,18.62747955,25.41730499,191.0700073,304.0290222
19/04/2012,17.98752403,25.31119537,191.1000061,299.9499512
20/04/2012,17.54475212,26.46207619,189.9799957,298.3283386
23/04/2012,17.50555801,26.21720886,188.2400055,299.0990906
24/04/2012,17.15587616,26.05396461,190.3300018,300.9359436
25/04/2012,18.67830849,26.28250885,194.4199982,305.1651611
26/04/2012,18.60788727,26.20904922,195.9900055,308.0430298
27/04/2012,18.46397018,26.10293198,226.8500061,307.7977905
30/04/2012,17.88157654,26.13558578,231.8999939,302.7277222
01/05/2012,17.82492447,26.12742233,230.0399933,302.5175171
02/05/2012,17.94281387,25.95601654,230.25,303.9339294
03/05/2012,17.8154335,25.92336845,229.4499969,305.8158264
04/05/2012,17.30805779,25.28671265,223.9900055,298.783783
07/05/2012,17.43758583,25.01735115,225.1600037,304.079071
08/05/2012,17.39777946,24.89492226,223.8999939,306.7016907
09/05/2012,17.42839813,25.10714149,222.9799957,304.8798828
10/05/2012,17.4694252,25.0908165,226.6900024,307.137146
11/05/2012,17.35276413,25.43362999,227.6799927,302.9179077
14/05/2012,17.09279633,25.0418396,222.9299927,302.3023071
15/05/2012,16.93816757,24.82001305,224.3899994,305.8608704
16/05/2012,16.72106743,24.56532478,224.0599976,314.7797852
17/05/2012,16.23237801,24.41743469,218.3600006,311.8368225
18/05/2012,16.24033165,24.04772758,213.8500061,300.5004883
21/05/2012,17.18650055,24.44208717,218.1100006,307.3623657
22/05/2012,17.05452538,24.45029449,215.3300018,300.7007141
23/05/2012,17.47064781,23.91627312,217.2799988,305.0350342
24/05/2012,17.31019974,23.88340759,215.2400055,302.1321411
25/05/2012,17.2174263,23.87519073,212.8899994,296.0610657
29/05/2012,17.52301216,24.28598785,214.75,297.4674683
30/05/2012,17.73429108,24.10523987,209.2299957,294.4094238
31/05/2012,17.69019699,23.98199844,212.9100037,290.7207336
01/06/2012,17.17761421,23.37402916,208.2200012,285.7757874
04/06/2012,17.27866364,23.4561882,214.5700073,289.5845947
05/06/2012,17.23395348,23.42332077,213.2100067,285.4904785
06/06/2012,17.49820518,24.11345482,217.6399994,290.5755615
07/06/2012,17.50616837,24.01485062,218.8000031,289.4044189
08/06/2012,17.76950073,24.35992622,218.4799957,290.5155029
11/06/2012,17.48932648,23.74373817,216.5,284.5345459
12/06/2012,17.64212608,24.06415367,216.4199982,282.8328247
13/06/2012,17.51963997,23.93270302,214.7299957,280.8258362
14/06/2012,17.50034904,24.10523987,214.4499969,279.8048096
15/06/2012,17.57995987,24.66390991,218.3500061,282.5375366
18/06/2012,17.93668938,24.51602554,222.6600037,285.7107239
19/06/2012,17.98660469,25.22259521,224.0299988,291.0560608
20/06/2012,17.93546677,25.41154861,223.0200043,289.0440369
21/06/2012,17.6883564,24.76249886,220.5700073,282.8878784
22/06/2012,17.82400513,25.22259521,222.1600037,286.0260315
25/06/2012,17.4770813,24.5406723,220.0700073,280.6306458
26/06/2012,17.51566696,24.66390991,225.6100006,282.6226196
27/06/2012,17.59129333,24.78715134,225.6199951,284.9349365
28/06/2012,17.42441368,24.57353783,221.3099976,282.437439
29/06/2012,17.8821888,25.1322155,228.3500061,290.3253174
02/07/2012,18.14307404,25.10756493,229.3200073,290.5255127
03/07/2012,18.35404396,25.27188873,229.5299988,294.209198
05/07/2012,18.67647171,25.22259521,227.0599976,298.2582703
06/07/2012,18.55215645,24.80358315,225.0500031,293.2832947
09/07/2012,18.79742432,24.64747238,225.0500031,293.2983093
10/07/2012,18.62350273,24.43387222,219.5,291.1411438
11/07/2012,18.50775719,24.07237816,218.3699951,285.8808899
12/07/2012,18.33842659,23.52190971,215.3600006,285.5255127
13/07/2012,18.52429199,24.14631653,218.3899994,288.5485535
16/07/2012,18.58370018,24.18739319,216.0099945,287.7477417
17/07/2012,18.58461952,24.36814117,216.9299927,288.653656
18/07/2012,18.56379128,25.01719284,217.4700012,290.6706848
19/07/2012,18.81059074,25.19794655,226.1699982,296.8268127
20/07/2012,18.50378036,24.74607468,228.2899933,305.7157288
23/07/2012,18.48937988,24.05594254,226.0099945,308.0630493
24/07/2012,18.40027618,23.94913483,223.0399933,304.0890808
25/07/2012,17.60568619,23.68623161,217.0500031,304.2992859
26/07/2012,17.60292816,23.95735741,220.0099945,306.9869995
27/07/2012,17.91770554,24.45029449,237.3200073,317.7977905
30/07/2012,18.21993065,24.35171318,236.0899963,316.4664612
31/07/2012,18.70158386,24.21204185,233.3000031,316.8017883
01/08/2012,18.58063698,24.16274261,232.0899963,316.6566467
02/08/2012,18.61063766,23.98199844,230.8099976,314.6896973
03/08/2012,18.85284805,24.44208717,234.9700012,320.9859924
06/08/2012,19.06259727,24.60640526,233.9900055,321.73172
07/08/2012,19.01237679,24.86109352,236.5599976,320.5905762
08/08/2012,18.98022652,24.91860008,234.3800049,321.4364319
09/08/2012,19.08847809,25.05827141,234.0599976,321.4964905
10/08/2012,19.11829376,24.99254799,232.75,321.3213196
13/08/2012,19.37354088,24.96789742,232.4400024,330.3353271
14/08/2012,19.42550659,24.91827583,233.1900024,334.6646729
15/08/2012,19.39906311,24.97616577,237.4199982,334.1040955
16/08/2012,19.56850624,25.45584488,241.5500031,336.771759
17/08/2012,19.93044662,25.55508041,241.1699982,338.908905
20/08/2012,20.45446205,25.42276192,240.3500061,338.1080933
21/08/2012,20.17492485,25.47238541,239.4499969,335.0900879
22/08/2012,20.56885338,25.25735664,243.1000061,338.9289246
23/08/2012,20.37696648,25.02578926,241.1999969,338.738739
24/08/2012,20.39510918,25.27389526,245.7400055,339.6546631
27/08/2012,20.77828026,25.38141251,243.9199982,334.9449463
28/08/2012,20.75121689,25.33178902,246.1100006,338.9639587
29/08/2012,20.7103138,25.34832954,247.1199951,344.3493347
30/08/2012,20.41509247,25.07541466,246.2200012,341.1811829
31/08/2012,20.45722198,25.48892403,248.2700043,342.8878784
04/09/2012,20.75644684,25.13330269,247.8800049,340.8608704
05/09/2012,20.61067772,25.13330269,246.2200012,340.7007141
06/09/2012,20.79642296,25.927248,251.3800049,350.0500488
07/09/2012,20.92465591,25.59643936,259.1400146,353.4284363
10/09/2012,20.38035011,25.40621948,257.0899963,350.7357483
11/09/2012,20.31423378,25.46411133,255.6699982,346.4414368
12/09/2012,20.5971508,25.45584488,255.6300049,345.7857971
13/09/2012,21.00276566,25.58816719,260.2399902,353.3733826
14/09/2012,21.25799561,25.81146431,261.269989,355.1951904
17/09/2012,21.5193882,25.81146431,258,355.3453369
18/09/2012,21.58488655,25.78665543,258.75,359.4995117
19/09/2012,21.59073639,25.67914391,261.6799927,364.1141052
20/09/2012,21.48617935,26.00995064,260.8099976,364.4244385
21/09/2012,21.52892113,25.79492378,257.4700012,367.3623657
24/09/2012,21.24293137,25.45584488,254.8000031,375.0650635
25/09/2012,20.7124691,25.13330269,252.4600067,374.9549561
26/09/2012,20.4553833,24.9513588,249.6699982,377.1071167
27/09/2012,20.95171356,24.94308662,256.5899963,378.6286316
28/09/2012,20.51442909,24.61227036,254.3200073,377.6276245
01/10/2012,20.2773304,24.38898087,252.0099945,381.2712708
02/10/2012,20.33637047,24.52957344,250.6000061,378.8738708
03/10/2012,20.64819527,24.69498634,255.9199982,381.6316223
04/10/2012,20.50520134,24.8355732,260.4700012,384.4094238
05/10/2012,20.06822395,24.68670845,258.5100098,384.209198
08/10/2012,19.62478256,24.6288166,259.0599976,379.2992859
09/10/2012,19.55343628,24.21530533,250.9600067,372.4174194
10/10/2012,19.7090416,23.96719933,244.9900055,372.6526489
11/10/2012,19.31510544,23.94239044,244.2200012,376.1161194
12/10/2012,19.3646183,24.14914131,242.3600006,372.7477417
